"Time [s]","Process load","System load"
268.02,0.16,3.12
269.02,0.17,3.99
270.02,0.18,9.97
271.03,0.23,13.89
272.03,0.21,10.65
273.04,0.18,4.62
274.04,0.16,3.87
275.04,0.17,7.39
276.05,0.17,8.14
277.05,0.18,8.4
278.05,0.18,14.64
279.06,0.2,12.93
280.06,0.18,12.87
281.07,0.21,7.22
282.07,0.18,4.63
283.08,0.21,7.25
284.08,0.27,12.54
285.08,0.21,6.37
286.09,0.23,9.91
287.09,0.2,6.87
288.1,0.15,2.36
289.1,0.17,8.78
290.1,0.16,4.6
291.11,0.16,2.5
292.11,0.15,1.74
293.11,0.16,2.5
294.12,0.15,2.11
295.12,0.16,3.12
296.13,0.15,1.74
297.13,0.16,2
298.13,0.15,1.75
299.13,0.16,2.37
300.14,0.16,3.23
301.14,0.17,4.25
302.14,0.15,2
303.15,0.19,12.32
304.15,0.21,10.66
305.16,0.21,19.59
306.16,0.2,15.57
307.17,0.18,8.02
308.17,0.18,11.66
309.18,0.17,7.23
310.18,0.17,7.64
311.18,0.19,9.29
312.19,0.17,6.03
313.19,0.21,6.49
314.2,0.19,11.52
315.2,0.21,10.81
316.21,0.2,11.2
317.21,0.19,12.89
318.22,0.2,18.66
319.22,0.28,6.53
320.23,0.17,14.94
321.23,0.19,19.69
322.23,0.19,10.88
323.24,0.17,9.62
324.24,0.16,6.98
325.24,0.18,8.39
326.24,0.18,9.31
327.25,0.17,8.88
328.26,0.16,5.72
329.26,0.21,11.82
330.26,0.18,16.51
331.26,0.2,14.08
332.26,0.19,13.74
333.27,0.2,9.41
334.27,0.17,11.45
335.28,0.18,9.41
336.28,0.17,6.36
337.29,0.17,5.12
338.29,0.18,6.64
339.29,0.17,6.01
340.3,0.17,6.39
341.3,0.23,11.13
342.3,0.25,10.17
343.31,0.21,8.69
344.31,0.16,3.63
345.31,0.16,4.87
346.32,0.15,2.12
347.32,0.17,6
348.33,0.16,2.88
349.33,0.17,5.22
350.34,0.16,3.87
351.34,0.18,7.39
352.35,0.16,3.98
353.35,0.18,4.11
354.36,0.15,4.36
355.36,0.17,3.74
356.36,0.15,1.87
357.37,0.2,10.76
358.37,0.18,9.81
359.38,0.17,12.89
360.38,0.19,9.52
361.39,0.2,10.44
362.39,0.17,11.52
363.4,0.26,13.9
364.4,0.15,2.37
365.4,0.17,3.5
366.41,0.15,1.86
367.41,0.19,7.5
368.42,0.19,8.55
369.42,0.2,12.26
370.43,0.19,19.44
371.43,0.2,14.46
372.44,0.18,6.23
373.44,0.23,12.97
374.45,0.18,8.38
375.45,0.19,6.52
376.45,0.2,7.51
377.46,0.22,10.91
378.46,0.2,10.27
379.47,0.3,10.87
380.47,0.22,18.9
381.47,0.21,11.54
382.48,0.21,13.15
383.48,0.19,8.02
384.48,0.23,9.89
385.49,0.24,11.22
386.49,0.21,9.27
387.49,0.22,11.52
388.49,0.19,7.92
389.5,0.2,10.91
390.5,0.2,11.3
391.51,0.22,10.77
392.51,0.21,9.41
393.52,0.18,9.86
394.52,0.2,8.8
395.52,0.21,16.43
396.53,0.24,10.66
397.53,0.25,13.36
398.53,0.22,13.85
399.54,0.18,8.03
400.54,0.2,10.91
401.55,0.22,13.35
402.55,0.17,7.63
403.55,0.19,13.38
404.56,0.21,13.17
405.56,0.21,19.36
406.56,0.2,12
407.57,0.2,10.27
408.57,0.18,6
409.58,0.17,5.75
410.58,0.19,7.5
411.59,0.19,13.47
412.59,0.18,6.93
413.59,0.17,5.48
414.59,0.15,2.76
415.59,0.17,8.04
416.6,0.18,10.01
417.6,0.18,10.69
418.61,0.19,12.17
419.61,0.2,17.22
420.62,0.53,8.03
421.62,0.2,13.29
422.62,0.18,9.79
423.63,0.17,6.76
424.63,0.18,14.19
425.64,0.17,5.78
426.64,0.17,6.36
427.64,0.16,6.87
428.64,0.17,6.3
429.65,0.18,6.11
430.65,0.19,8.14
431.66,0.16,5.87
432.66,0.18,8.8
433.67,0.17,7.24
434.67,0.16,12.78
435.68,0.17,6
436.68,0.18,8.3
437.69,0.17,4.24
438.69,0.16,8.31
439.69,0.15,8.98
440.7,0.16,3.87
441.7,0.16,3.37
442.7,0.18,7.3
443.71,0.16,5.86
444.71,0.17,6.39
445.71,0.16,5.02
446.72,0.18,8.17
