# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time [s]","Total number of threads","Runnable threads","Blocked threads","Threads in Net I/O","Waiting threads"
223.86,1,0,0,0,1
224.86,1,0,0,0,1
225.86,1,0,0,0,1
226.87,1,0,0,0,1
227.87,1,0,0,0,1
228.87,1,0,0,0,1
229.88,1,0,0,0,1
230.88,1,0,0,0,1
231.88,1,0,0,0,1
232.88,1,0,0,0,1
233.89,1,0,0,0,1
234.89,1,0,0,0,1
235.9,1,0,0,0,1
236.9,1,0,0,0,1
237.91,1,0,0,0,1
238.91,1,0,0,0,1
239.92,1,0,0,0,1
240.92,1,0,0,0,1
241.93,1,0,0,0,1
242.93,1,0,0,0,1
243.93,1,0,0,0,1
244.93,1,0,0,0,1
245.94,1,0,0,0,1
246.94,1,0,0,0,1
247.94,1,0,0,0,1
248.95,1,0,0,0,1
249.95,1,0,0,0,1
250.96,1,0,0,0,1
251.96,1,0,0,0,1
252.96,1,0,0,0,1
253.97,1,0,0,0,1
254.98,1,0,0,0,1
255.98,1,0,0,0,1
256.98,1,0,0,0,1
257.99,1,0,0,0,1
258.99,1,0,0,0,1
260.0,1,0,0,0,1
261.0,1,0,0,0,1
262.0,1,0,0,0,1
263.0,1,0,0,0,1
264.01,1,0,0,0,1
265.01,1,0,0,0,1
266.01,1,0,0,0,1
267.02,1,0,0,0,1
268.02,1,0,0,0,1
269.02,1,0,0,0,1
270.02,1,0,0,0,1
271.03,1,0,0,0,1
272.03,1,0,0,0,1
273.04,1,0,0,0,1
274.04,1,0,0,0,1
275.04,1,0,0,0,1
276.05,1,0,0,0,1
277.05,1,0,0,0,1
278.05,1,0,0,0,1
279.06,1,0,0,0,1
280.06,1,0,0,0,1
281.07,1,0,0,0,1
282.07,1,0,0,0,1
283.08,1,0,0,0,1
284.08,1,0,0,0,1
285.08,1,0,0,0,1
286.09,1,0,0,0,1
287.09,1,0,0,0,1
288.1,1,0,0,0,1
289.1,1,0,0,0,1
290.1,1,0,0,0,1
291.11,1,0,0,0,1
292.11,1,0,0,0,1
293.11,1,0,0,0,1
294.12,1,0,0,0,1
295.12,1,0,0,0,1
296.13,1,0,0,0,1
297.13,1,0,0,0,1
298.13,1,0,0,0,1
299.13,1,0,0,0,1
300.14,1,0,0,0,1
301.14,1,0,0,0,1
302.14,1,0,0,0,1
303.15,1,0,0,0,1
304.15,1,0,0,0,1
305.16,1,0,0,0,1
306.16,1,0,0,0,1
307.17,1,0,0,0,1
308.17,1,0,0,0,1
309.18,1,0,0,0,1
310.18,1,0,0,0,1
311.18,1,0,0,0,1
312.19,1,0,0,0,1
313.19,1,0,0,0,1
314.2,1,0,0,0,1
315.2,1,0,0,0,1
316.21,1,0,0,0,1
317.21,1,0,0,0,1
318.22,1,0,0,0,1
319.22,1,0,0,0,1
320.23,1,0,0,0,1
321.23,1,0,0,0,1
322.23,1,0,0,0,1
323.24,1,0,0,0,1
324.24,1,0,0,0,1
325.24,1,0,0,0,1
326.24,1,0,0,0,1
327.25,1,0,0,0,1
328.26,1,0,0,0,1
329.26,1,0,0,0,1
330.26,1,0,0,0,1
331.26,1,0,0,0,1
332.26,1,0,0,0,1
333.27,1,0,0,0,1
334.27,1,0,0,0,1
335.28,1,0,0,0,1
336.28,1,0,0,0,1
337.29,1,0,0,0,1
338.29,1,0,0,0,1
339.29,1,0,0,0,1
340.3,1,0,0,0,1
341.3,1,0,0,0,1
342.3,1,0,0,0,1
343.31,1,0,0,0,1
344.31,1,0,0,0,1
345.31,1,0,0,0,1
346.32,1,0,0,0,1
347.32,1,0,0,0,1
348.33,1,0,0,0,1
349.33,1,0,0,0,1
350.34,1,0,0,0,1
351.34,1,0,0,0,1
352.35,1,0,0,0,1
353.35,1,0,0,0,1
354.36,1,0,0,0,1
355.36,1,0,0,0,1
356.36,1,0,0,0,1
357.37,1,0,0,0,1
358.37,1,0,0,0,1
359.38,1,0,0,0,1
360.38,1,0,0,0,1
361.39,1,0,0,0,1
362.39,1,0,0,0,1
363.4,1,0,0,0,1
364.4,1,0,0,0,1
365.4,1,0,0,0,1
366.41,1,0,0,0,1
367.41,1,0,0,0,1
368.42,1,0,0,0,1
369.42,1,0,0,0,1
370.43,1,0,0,0,1
371.43,1,0,0,0,1
372.44,1,0,0,0,1
373.44,1,0,0,0,1
374.45,1,0,0,0,1
375.45,1,0,0,0,1
376.45,1,0,0,0,1
377.46,1,0,0,0,1
378.46,1,0,0,0,1
379.47,1,0,0,0,1
380.47,1,0,0,0,1
381.47,1,0,0,0,1
382.48,1,0,0,0,1
383.48,1,0,0,0,1
384.48,1,0,0,0,1
385.49,1,0,0,0,1
386.49,1,0,0,0,1
387.49,1,0,0,0,1
388.49,1,0,0,0,1
389.5,1,0,0,0,1
390.5,1,0,0,0,1
391.51,1,0,0,0,1
392.51,1,0,0,0,1
393.52,1,0,0,0,1
394.52,1,0,0,0,1
395.52,1,0,0,0,1
396.53,1,0,0,0,1
397.53,1,0,0,0,1
398.53,1,0,0,0,1
399.54,1,0,0,0,1
400.54,1,0,0,0,1
401.55,1,0,0,0,1
402.55,1,0,0,0,1
403.55,1,0,0,0,1
404.56,1,0,0,0,1
405.56,1,0,0,0,1
406.56,1,0,0,0,1
407.57,1,0,0,0,1
408.57,1,0,0,0,1
409.58,1,0,0,0,1
410.58,1,0,0,0,1
411.59,1,0,0,0,1
412.59,1,0,0,0,1
413.59,1,0,0,0,1
414.59,1,0,0,0,1
415.59,1,0,0,0,1
416.6,1,0,0,0,1
417.6,1,0,0,0,1
418.61,1,0,0,0,1
419.61,1,0,0,0,1
420.62,1,0,0,0,1
421.62,1,0,0,0,1
422.62,1,0,0,0,1
423.63,1,0,0,0,1
424.63,1,0,0,0,1
425.64,1,0,0,0,1
426.64,1,0,0,0,1
427.64,1,0,0,0,1
428.64,1,0,0,0,1
429.65,1,0,0,0,1
430.65,1,0,0,0,1
431.66,1,0,0,0,1
432.66,1,0,0,0,1
433.67,1,0,0,0,1
434.67,1,0,0,0,1
435.68,1,0,0,0,1
436.68,1,0,0,0,1
437.69,1,0,0,0,1
438.69,1,0,0,0,1
439.69,1,0,0,0,1
440.7,1,0,0,0,1
441.7,1,0,0,0,1
442.7,1,0,0,0,1
443.71,1,0,0,0,1
444.71,1,0,0,0,1
445.71,1,0,0,0,1
446.72,1,0,0,0,1
447.72,1,0,0,0,1
448.72,1,0,0,0,1
449.73,1,0,0,0,1
450.73,1,0,0,0,1
451.73,1,0,0,0,1
452.73,1,0,0,0,1
453.74,1,0,0,0,1
454.74,1,0,0,0,1
455.74,1,0,0,0,1
456.75,1,0,0,0,1
457.75,1,0,0,0,1
458.75,1,0,0,0,1
459.76,1,0,0,0,1
460.76,1,0,0,0,1
461.77,1,0,0,0,1
462.77,1,0,0,0,1
463.77,1,0,0,0,1
464.78,1,0,0,0,1
465.78,1,0,0,0,1
466.78,1,0,0,0,1
467.79,1,0,0,0,1
468.79,1,0,0,0,1
469.79,1,0,0,0,1
470.8,1,0,0,0,1
471.8,1,0,0,0,1
472.8,1,0,0,0,1
473.81,1,0,0,0,1
474.81,1,0,0,0,1
475.82,1,0,0,0,1
476.82,1,0,0,0,1
477.82,1,0,0,0,1
478.82,1,0,0,0,1
479.82,1,0,0,0,1
480.83,1,0,0,0,1
481.83,1,0,0,0,1
482.84,1,0,0,0,1
483.84,1,0,0,0,1
484.85,1,0,0,0,1
485.85,1,0,0,0,1
486.85,1,0,0,0,1
487.85,1,0,0,0,1
488.85,1,0,0,0,1
489.86,1,0,0,0,1
490.86,1,0,0,0,1
491.86,1,0,0,0,1
492.86,1,0,0,0,1
493.87,1,0,0,0,1
494.87,1,0,0,0,1
495.88,1,0,0,0,1
496.88,1,0,0,0,1
497.88,1,0,0,0,1
498.88,1,0,0,0,1
499.89,1,0,0,0,1
500.89,1,0,0,0,1
501.9,1,0,0,0,1
502.9,1,0,0,0,1
503.9,1,0,0,0,1
504.91,1,0,0,0,1
505.91,1,0,0,0,1
506.92,1,0,0,0,1
507.92,1,0,0,0,1
508.93,1,0,0,0,1
509.94,1,0,0,0,1
510.94,1,0,0,0,1
511.95,1,0,0,0,1
512.95,1,0,0,0,1
513.95,1,0,0,0,1
514.95,1,0,0,0,1
515.96,1,0,0,0,1
516.96,1,0,0,0,1
517.96,1,0,0,0,1
518.97,1,0,0,0,1
519.97,1,0,0,0,1
520.97,1,0,0,0,1
521.98,1,0,0,0,1
522.98,1,0,0,0,1
523.99,1,0,0,0,1
524.99,1,0,0,0,1
526.0,1,0,0,0,1
527.0,1,0,0,0,1
528.0,1,0,0,0,1
529.01,1,0,0,0,1
530.01,1,0,0,0,1
531.01,1,0,0,0,1
532.01,1,0,0,0,1
533.01,1,0,0,0,1
534.02,1,0,0,0,1
535.02,1,0,0,0,1
536.03,1,0,0,0,1
537.03,1,0,0,0,1
538.03,1,0,0,0,1
539.04,1,0,0,0,1
540.04,1,0,0,0,1
541.04,1,0,0,0,1
542.05,1,0,0,0,1
543.05,1,0,0,0,1
544.06,1,0,0,0,1
545.06,1,0,0,0,1
546.06,1,0,0,0,1
547.07,1,0,0,0,1
548.07,1,0,0,0,1
549.07,1,0,0,0,1
550.08,1,0,0,0,1
551.08,1,0,0,0,1
552.08,1,0,0,0,1
553.09,1,0,0,0,1
554.09,1,0,0,0,1
555.09,1,0,0,0,1
556.1,1,0,0,0,1
557.1,1,0,0,0,1
558.11,1,0,0,0,1
559.11,1,0,0,0,1
560.12,1,0,0,0,1
561.13,1,0,0,0,1
562.13,1,0,0,0,1
563.13,1,0,0,0,1
564.13,1,0,0,0,1
565.14,1,0,0,0,1
566.14,1,0,0,0,1
567.14,1,0,0,0,1
568.15,1,0,0,0,1
569.15,1,0,0,0,1
570.15,1,0,0,0,1
571.16,1,0,0,0,1
572.16,1,0,0,0,1
573.16,1,0,0,0,1
574.16,1,0,0,0,1
575.16,1,0,0,0,1
576.17,1,0,0,0,1
577.17,1,0,0,0,1
578.17,1,0,0,0,1
579.17,1,0,0,0,1
580.18,1,0,0,0,1
581.18,1,0,0,0,1
582.18,1,0,0,0,1
583.19,1,0,0,0,1
584.19,1,0,0,0,1
585.19,1,0,0,0,1
586.2,1,0,0,0,1
587.2,1,0,0,0,1
588.2,1,0,0,0,1
589.21,1,0,0,0,1
590.21,1,0,0,0,1
591.22,1,0,0,0,1
592.22,1,0,0,0,1
593.22,1,0,0,0,1
594.23,1,0,0,0,1
595.23,1,0,0,0,1
596.23,1,0,0,0,1
597.24,1,0,0,0,1
598.24,1,0,0,0,1
599.25,1,0,0,0,1
600.25,1,0,0,0,1
601.25,1,0,0,0,1
602.26,1,0,0,0,1
603.26,1,0,0,0,1
604.27,1,0,0,0,1
605.27,1,0,0,0,1
606.27,1,0,0,0,1
607.28,1,0,0,0,1
608.28,1,0,0,0,1
609.28,1,0,0,0,1
610.29,1,0,0,0,1
611.29,1,0,0,0,1
612.3,1,0,0,0,1
613.3,1,0,0,0,1
614.3,1,0,0,0,1
615.3,1,0,0,0,1
616.31,1,0,0,0,1
617.31,1,0,0,0,1
618.32,1,0,0,0,1
619.32,1,0,0,0,1
620.33,1,0,0,0,1
621.33,1,0,0,0,1
622.34,1,0,0,0,1
623.34,1,0,0,0,1
624.34,1,0,0,0,1
625.34,1,0,0,0,1
626.35,1,0,0,0,1
627.35,1,0,0,0,1
628.36,1,0,0,0,1
629.36,1,0,0,0,1
630.37,1,0,0,0,1
631.37,1,0,0,0,1
632.38,1,0,0,0,1
633.38,1,0,0,0,1
634.38,1,0,0,0,1
635.39,1,0,0,0,1
636.39,1,0,0,0,1
637.4,1,0,0,0,1
638.4,1,0,0,0,1
639.4,1,0,0,0,1
640.4,1,0,0,0,1
641.41,1,0,0,0,1
642.41,1,0,0,0,1
643.42,1,0,0,0,1
644.43,1,0,0,0,1
645.43,1,0,0,0,1
646.44,1,0,0,0,1
647.44,1,0,0,0,1
648.44,1,0,0,0,1
649.45,1,0,0,0,1
650.45,1,0,0,0,1
651.45,1,0,0,0,1
652.46,1,0,0,0,1
653.46,1,0,0,0,1
654.47,1,0,0,0,1
655.47,1,0,0,0,1
656.47,1,0,0,0,1
657.47,1,0,0,0,1
658.48,1,0,0,0,1
659.48,1,0,0,0,1
660.49,1,0,0,0,1
661.49,1,0,0,0,1
662.49,1,0,0,0,1
663.5,1,0,0,0,1
664.5,1,0,0,0,1
665.5,1,0,0,0,1
666.5,1,0,0,0,1
667.51,1,0,0,0,1
668.51,1,0,0,0,1
669.51,1,0,0,0,1
670.52,1,0,0,0,1
671.52,1,0,0,0,1
672.53,1,0,0,0,1
673.53,1,0,0,0,1
674.53,1,0,0,0,1
675.54,1,0,0,0,1
676.54,1,0,0,0,1
677.55,1,0,0,0,1
678.55,1,0,0,0,1
679.55,1,0,0,0,1
680.56,1,0,0,0,1
0.0,1750,1736,14
1.0,2950,2934,16
2.01,2951,2935,16
3.01,2951,2935,16
4.02,2951,2935,16
5.02,2952,2936,16
6.02,2956,2940,16
7.03,2956,2940,16
8.03,2956,2940,16
9.04,2956,2940,16
10.04,2956,2940,16
11.05,2956,2940,16
12.05,2956,2940,16
13.05,2956,2940,16
14.06,2956,2940,16
15.06,2956,2940,16
16.06,2956,2940,16
17.07,2956,2940,16
18.07,2956,2940,16
19.07,2956,2940,16
20.08,2956,2940,16
21.08,2956,2940,16
22.08,2956,2940,16
23.09,2956,2940,16
24.09,2956,2940,16
25.1,2956,2940,16
26.1,2956,2940,16
27.11,2956,2940,16
28.11,2956,2940,16
29.11,2956,2940,16
30.12,2956,2940,16
31.12,2956,2940,16
32.13,2956,2940,16
