"Time [s]","Total number of classes","Non-CPU-profiled classes","CPU-profiled classes"
605.27,3036,3018,18
606.27,3036,3018,18
607.28,3036,3018,18
608.28,3036,3018,18
609.28,3036,3018,18
610.29,3036,3018,18
611.29,3036,3018,18
612.3,3036,3018,18
613.3,3036,3018,18
614.3,3036,3018,18
615.3,3036,3018,18
616.31,3036,3018,18
617.31,3036,3018,18
618.32,3036,3018,18
619.32,3036,3018,18
620.33,3036,3018,18
621.33,3036,3018,18
622.34,3036,3018,18
623.34,3036,3018,18
624.34,3036,3018,18
625.34,3036,3018,18
626.35,3036,3018,18
627.35,3036,3018,18
628.36,3036,3018,18
629.36,3036,3018,18
630.37,3036,3018,18
631.37,3036,3018,18
632.38,3036,3018,18
633.38,3036,3018,18
634.38,3036,3018,18
635.39,3036,3018,18
636.39,3036,3018,18
637.4,3036,3018,18
638.4,3036,3018,18
639.4,3036,3018,18
640.4,3036,3018,18
641.41,3036,3018,18
642.41,3036,3018,18
643.42,3036,3018,18
644.43,3036,3018,18
645.43,3036,3018,18
646.44,3036,3018,18
647.44,3036,3018,18
648.44,3036,3018,18
649.45,3036,3018,18
650.45,3036,3018,18
651.45,3036,3018,18
652.46,3036,3018,18
653.46,3036,3018,18
654.47,3036,3018,18
655.47,3036,3018,18
656.47,3036,3018,18
657.47,3036,3018,18
658.48,3036,3018,18
659.48,3036,3018,18
660.49,3036,3018,18
661.49,3036,3018,18
662.49,3036,3018,18
663.5,3036,3018,18
664.5,3036,3018,18
665.5,3036,3018,18
666.5,3036,3018,18
667.51,3036,3018,18
668.51,3036,3018,18
669.51,3036,3018,18
670.52,3036,3018,18
671.52,3036,3018,18
672.53,3036,3018,18
